id,first_name,last_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey_num,position,is_active,franchise_id,from_year,to_year,is_d_league,is_nba,has_played,is_greatest_75
203082,Terrence,Ross,1991-02-05,Washington,USA,Washington/USA,79,206,11,8,Guard-Forward,1,29,2012,2023,0,1,1,0
203083,Andre,Drummond,1993-08-10,Connecticut,USA,Connecticut/USA,83,279,11,3,Center,1,25,2012,2023,0,1,1,0
203084,Harrison,Barnes,1992-05-30,"North Carolina",USA,"North Carolina/USA",80,225,11,40,Forward,1,32,2012,2023,0,1,1,0
203085,Austin,Rivers,1992-08-01,Duke,USA,Duke/USA,76,200,11,25,Guard,1,41,2012,2023,0,1,1,0
203086,Meyers,Leonard,1992-02-27,Illinois,USA,Illinois/USA,84,260,10,3,Forward-Center,1,28,2012,2023,0,1,1,0
203095,Evan,Fournier,1992-10-29,"Poitiers Basket 86",France,"Poitiers Basket 86/France",78,205,11,13,Guard-Forward,1,6,2012,2023,0,1,1,0
203109,Jae,Crowder,1990-07-06,Marquette,USA,Marquette/USA,78,235,11,99,Forward,1,28,2012,2023,1,1,1,0
203110,Draymond,Green,1990-03-04,"Michigan State",USA,"Michigan State/USA",78,230,11,23,Forward,1,5,2012,2023,0,1,1,0
203114,Khris,Middleton,1991-08-12,"Texas A&M",USA,"Texas A&M/USA",79,222,11,22,Forward,1,28,2012,2023,1,1,1,0
203115,Will,Barton,1991-01-06,Memphis,USA,Memphis/USA,77,181,11,1,Guard,1,44,2012,2023,1,1,1,0
203200,Justin,Holiday,1989-04-05,Washington,USA,Washington/USA,78,180,10,0,Forward-Guard,1,38,2012,2023,1,1,1,0
203210,JaMychal,Green,1990-06-21,Alabama,USA,Alabama/USA,81,227,9,1,Forward-Center,1,5,2014,2023,1,1,1,0
203457,Nerlens,Noel,1994-04-10,Kentucky,USA,Kentucky/USA,82,220,9,NULL,Center-Forward,0,NULL,2013,2022,0,1,1,0
203458,Alex,Len,1993-06-16,Maryland,Ukraine,Maryland/Ukraine,86,250,10,25,Center,1,32,2013,2023,0,1,1,0
203469,Cody,Zeller,1992-10-05,Indiana,USA,Indiana/USA,83,240,10,44,Forward-Center,1,40,2013,2023,0,1,1,0
203471,Dennis,Schroder,1993-09-15,Braunschweig,Germany,Braunschweig/Germany,73,172,10,17,Guard,1,15,2013,2023,1,1,1,0
203473,Dewayne,Dedmon,1989-08-12,"Southern California",USA,"Southern California/USA",82,245,10,14,Center,1,21,2013,2023,1,1,1,0
203476,Gorgui,Dieng,1990-01-18,Louisville,Senegal,Louisville/Senegal,82,248,10,41,Center,1,37,2013,2023,0,1,1,0
203482,Kelly,Olynyk,1991-04-19,Gonzaga,Canada,Gonzaga/Canada,83,240,10,41,Forward-Center,1,33,2013,2023,0,1,1,0
203484,Kentavious,Caldwell-Pope,1993-02-18,Georgia,USA,Georgia/USA,77,204,10,5,Guard,1,35,2013,2023,0,1,1,0
203486,Mason,Plumlee,1990-03-05,Duke,USA,Duke/USA,84,254,10,44,Forward-Center,1,31,2013,2023,0,1,1,0
203487,Michael,Carter-Williams,1991-10-10,Syracuse,USA,Syracuse/USA,77,190,9,11,Guard,1,42,2013,2023,0,1,1,0
203488,Mike,Muscala,1991-07-01,Bucknell,USA,Bucknell/USA,83,240,10,57,Forward-Center,1,24,2013,2023,1,1,1,0
203490,Otto,"Porter Jr.",1993-06-03,Georgetown,USA,Georgetown/USA,80,198,10,32,Forward,1,44,2013,2023,0,1,1,0
203493,Reggie,Bullock,1991-03-16,"North Carolina",USA,"North Carolina/USA",78,205,10,25,Guard-Forward,1,38,2013,2023,1,1,1,0
203496,Robert,Covington,1990-12-14,"Tennessee State",USA,"Tennessee State/USA",79,209,10,23,Forward,1,31,2013,2023,1,1,1,0
203497,Rudy,Gobert,1992-06-26,Cholet,France,Cholet/France,85,258,10,27,Center,1,41,2013,2023,1,1,1,0
203500,Steven,Adams,1993-07-20,Pittsburgh,"New Zealand","Pittsburgh/New Zealand",83,265,10,4,Center,1,43,2013,2023,0,1,1,0
203501,Tim,"Hardaway Jr.",1992-03-16,Michigan,USA,Michigan/USA,77,205,10,11,Guard-Forward,1,38,2013,2023,1,1,1,0
203506,Victor,Oladipo,1992-05-04,Indiana,USA,Indiana/USA,75,213,10,4,Guard,1,40,2013,2023,0,1,1,0
203507,Giannis,Antetokounmpo,1994-12-06,Filathlitikos,Greece,Filathlitikos/Greece,84,243,10,34,Forward,1,28,2013,2023,0,1,1,1
203521,Matthew,Dellavedova,1990-09-08,"St. Mary's",Australia,"St. Mary's/Australia",75,200,9,8,Guard,1,32,2013,2023,0,1,1,0
203526,Raul,Neto,1992-05-19,Murcia,Brazil,Murcia/Brazil,74,180,8,19,Guard,1,30,2015,2023,1,1,1,0
203552,Seth,Curry,1990-08-23,Duke,USA,Duke/USA,73,185,9,30,Guard,1,34,2013,2023,1,1,1,0
203585,Rodney,McGruder,1991-07-29,"Kansas State",USA,"Kansas State/USA",76,205,7,17,Guard,1,13,2016,2023,1,1,1,0
203648,Thanasis,Antetokounmpo,1992-07-18,Panathinaikos,Greece,Panathinaikos/Greece,79,219,5,43,Forward,1,28,2015,2023,1,1,1,0
203897,Zach,LaVine,1995-03-10,UCLA,USA,UCLA/USA,77,200,9,8,Guard,1,25,2014,2023,0,1,1,0
203903,Jordan,Clarkson,1992-06-07,Missouri,USA,Missouri/USA,77,194,9,0,Guard,1,33,2014,2023,1,1,1,0
203914,Gary,Harris,1994-09-14,"Michigan State",USA,"Michigan State/USA",76,210,9,14,Guard,1,42,2014,2023,0,1,1,0
203915,Spencer,Dinwiddie,1993-04-06,Colorado,USA,Colorado/USA,77,215,9,26,Guard,1,34,2014,2023,1,1,1,0
203920,Khem,Birch,1992-09-28,UNLV,Canada,UNLV/Canada,80,233,6,24,Center,1,37,2017,2023,1,1,1,0
203925,Joe,Harris,1991-09-06,Virginia,USA,Virginia/USA,78,220,9,12,Guard-Forward,1,34,2014,2023,1,1,1,0
203926,Doug,McDermott,1992-01-03,Creighton,USA,Creighton/USA,78,225,9,17,Forward,1,37,2014,2023,0,1,1,0
203932,Aaron,Gordon,1995-09-16,Arizona,USA,Arizona/USA,80,235,9,50,Forward,1,35,2014,2023,0,1,1,0
203933,T.J.,Warren,1993-09-05,"North Carolina State",USA,"North Carolina State/USA",80,220,8,21,Forward,1,29,2014,2023,1,1,1,0
203935,Marcus,Smart,1994-03-06,"Oklahoma State",USA,"Oklahoma State/USA",76,220,9,36,Guard,1,43,2014,2023,1,1,1,0
203937,Kyle,Anderson,1993-09-20,UCLA,USA,UCLA/USA,81,230,9,5,Forward-Guard,1,41,2014,2023,1,1,1,0
203943,Noah,Vonleh,1995-08-24,Indiana,USA,Indiana/USA,82,257,8,NULL,Forward,0,NULL,2014,2022,1,1,1,0
203952,Andrew,Wiggins,1995-02-23,Kansas,Canada,Kansas/Canada,79,197,9,22,Forward,1,5,2014,2023,0,1,1,0
203954,Joel,Embiid,1994-03-16,Kansas,Cameroon,Kansas/Cameroon,84,280,7,21,Center-Forward,1,21,2014,2023,0,1,1,0
203967,Dario,Saric,1994-04-08,"Anadolu Efes",Croatia,"Anadolu Efes/Croatia",82,225,6,9,Forward-Center,1,27,2016,2023,0,1,1,0
203991,Clint,Capela,1994-05-18,"Elan Chalon",Switzerland,"Elan Chalon/Switzerland",82,256,9,15,Center,1,18,2014,2023,1,1,1,0
203994,Jusuf,Nurkic,1994-08-23,Cedevita,"Bosnia and Herzegovina","Cedevita/Bosnia and Herzegovina",84,290,9,27,Center,1,32,2014,2023,0,1,1,0
203999,Nikola,Jokic,1995-02-19,"Mega Basket",Serbia,"Mega Basket/Serbia",83,284,8,15,Center,1,35,2015,2023,0,1,1,0
204001,Kristaps,Porzingis,1995-08-02,"Cajasol Sevilla",Latvia,"Cajasol Sevilla/Latvia",87,240,7,6,Forward-Center,1,1,2015,2023,0,1,1,0
204060,Joe,Ingles,1987-10-02,"Maccabi Tel Aviv",Australia,"Maccabi Tel Aviv/Australia",81,220,9,7,Forward-Guard,1,28,2014,2023,0,1,1,0
204456,T.J.,McConnell,1992-03-25,Arizona,USA,Arizona/USA,73,190,8,9,Guard,1,36,2015,2023,0,1,1,0
1626145,Tyus,Jones,1996-05-10,Duke,USA,Duke/USA,74,196,8,21,Guard,1,24,2015,2023,1,1,1,0
1626149,Montrezl,Harrell,1994-01-26,Louisville,USA,Louisville/USA,79,240,8,5,Forward-Center,1,21,2015,2023,1,1,1,0
1626153,Delon,Wright,1992-04-26,Utah,USA,Utah/USA,77,185,8,55,Guard,1,24,2015,2023,1,1,1,0
1626156,D'Angelo,Russell,1996-02-23,"Ohio State",USA,"Ohio State/USA",76,193,8,1,Guard,1,15,2015,2023,0,1,1,0
1626157,Karl-Anthony,Towns,1995-11-15,Kentucky,USA,Kentucky/USA,84,248,8,32,Center-Forward,1,41,2015,2023,0,1,1,0
1626158,Richaun,Holmes,1993-10-15,"Bowling Green",USA,"Bowling Green/USA",80,235,8,22,Forward,1,32,2015,2023,1,1,1,0
1626159,Justise,Winslow,1996-03-26,Duke,USA,Duke/USA,78,222,8,26,Forward-Guard,1,32,2015,2023,0,1,1,0
1626161,Willie,Cauley-Stein,1993-08-18,Kentucky,USA,Kentucky/USA,84,240,7,0,Center,1,31,2015,2023,1,1,1,0
1626162,Kelly,"Oubre Jr.",1995-12-09,Kansas,USA,Kansas/USA,78,203,8,12,Forward-Guard,1,39,2015,2023,0,1,1,0
1626163,Frank,Kaminsky,1993-04-04,Wisconsin,USA,Wisconsin/USA,84,240,8,33,Forward-Center,1,31,2015,2023,0,1,1,0
1626164,Devin,Booker,1996-10-30,Kentucky,USA,Kentucky/USA,77,206,8,1,Guard,1,29,2015,2023,0,1,1,0
1626166,Cameron,Payne,1994-08-08,"Murray State",USA,"Murray State/USA",73,183,8,15,Guard,1,29,2015,2023,1,1,1,0
1626167,Myles,Turner,1996-03-24,Texas,USA,Texas/USA,83,250,8,33,Center-Forward,1,36,2015,2023,0,1,1,0
1626171,Bobby,Portis,1995-02-10,Arkansas,USA,Arkansas/USA,83,250,8,9,Forward,1,28,2015,2023,1,1,1,0
1626172,Kevon,Looney,1996-02-06,UCLA,USA,UCLA/USA,81,222,8,5,Forward,1,5,2015,2023,1,1,1,0
1626174,Christian,Wood,1995-09-27,UNLV,USA,UNLV/USA,81,214,7,35,Forward,1,38,2015,2023,1,1,1,0
1626179,Terry,Rozier,1994-03-17,Louisville,USA,Louisville/USA,73,190,8,3,Guard,1,39,2015,2023,1,1,1,0
1626181,Norman,Powell,1993-05-25,UCLA,USA,UCLA/USA,76,215,8,24,Guard,1,31,2015,2023,1,1,1,0
1626192,Pat,Connaughton,1993-01-06,"Notre Dame",USA,"Notre Dame/USA",77,209,8,24,Guard,1,28,2015,2023,0,1,1,0
1626195,Willy,Hernangomez,1994-05-27,"Cajasol Sevilla",Spain,"Cajasol Sevilla/Spain",83,250,7,9,Center-Forward,1,45,2016,2023,0,1,1,0
1626196,Josh,Richardson,1993-09-15,Tennessee,USA,Tennessee/USA,78,200,8,2,Guard,1,40,2015,2023,1,1,1,0
1626204,Larry,"Nance Jr.",1993-01-01,Wyoming,USA,Wyoming/USA,80,245,8,22,Forward-Center,1,45,2015,2023,0,1,1,0
1626220,Royce,O'Neale,1993-06-05,Baylor,USA,Baylor/USA,78,226,6,0,Forward,1,34,2017,2023,1,1,1,0
1626224,Cedi,Osman,1995-04-08,"Anadolu Efes",Turkey,"Anadolu Efes/Turkey",79,230,6,16,Forward,1,30,2017,2023,1,1,1,0
1626246,Boban,Marjanovic,1988-08-15,"Crvena zvezda",Serbia,"Crvena zvezda/Serbia",88,290,8,51,Center,1,31,2015,2023,1,1,1,0
1627732,Ben,Simmons,1996-07-20,"Louisiana State",Australia,"Louisiana State/Australia",82,240,5,10,Guard-Forward,1,34,2016,2023,0,1,1,0
1627734,Domantas,Sabonis,1996-05-03,Gonzaga,Lithuania,Gonzaga/Lithuania,85,240,7,10,Forward-Center,1,32,2016,2023,0,1,1,0
1627736,Malik,Beasley,1996-11-26,"Florida State",USA,"Florida State/USA",76,187,7,5,Guard,1,15,2016,2023,1,1,1,0
1627739,Kris,Dunn,1994-03-18,Providence,USA,Providence/USA,75,205,7,11,Guard,1,33,2016,2023,1,1,1,0
1627741,Buddy,Hield,1992-12-17,Oklahoma,Bahamas,Oklahoma/Bahamas,76,220,7,24,Guard,1,36,2016,2023,0,1,1,0
1627742,Brandon,Ingram,1997-09-02,Duke,USA,Duke/USA,80,190,7,14,Forward,1,45,2016,2023,0,1,1,0
1627745,Damian,Jones,1995-06-30,Vanderbilt,USA,Vanderbilt/USA,83,245,7,15,Center,1,33,2016,2023,1,1,1,0
1627747,Caris,LeVert,1994-08-25,Michigan,USA,Michigan/USA,78,205,7,3,Guard,1,30,2016,2023,0,1,1,0
1627749,Dejounte,Murray,1996-09-19,Washington,USA,Washington/USA,77,180,6,5,Guard,1,18,2016,2023,1,1,1,0
1627750,Jamal,Murray,1997-02-23,Kentucky,Canada,Kentucky/Canada,76,215,6,27,Guard,1,35,2016,2023,0,1,1,0
1627751,Jakob,Poeltl,1995-10-15,Utah,Austria,Utah/Austria,85,245,7,19,Center,1,44,2016,2023,1,1,1,0
1627759,Jaylen,Brown,1996-10-24,California,USA,California/USA,78,223,7,7,Guard-Forward,1,1,2016,2023,0,1,1,0
1627777,Georges,Niang,1993-06-17,"Iowa State",USA,"Iowa State/USA",79,230,7,20,Forward,1,21,2016,2023,1,1,1,0
1627780,Gary,"Payton II",1992-12-01,"Oregon State",USA,"Oregon State/USA",74,195,7,8,Guard,1,5,2016,2023,1,1,1,0
1627783,Pascal,Siakam,1994-04-02,"New Mexico State",Cameroon,"New Mexico State/Cameroon",80,230,7,43,Forward,1,44,2016,2023,1,1,1,0
1627788,Furkan,Korkmaz,1997-07-24,"Anadolu Efes",Turkey,"Anadolu Efes/Turkey",79,202,6,30,Guard-Forward,1,21,2017,2023,1,1,1,0
1627814,Damion,Lee,1992-10-21,Drexel,USA,Drexel/USA,77,210,6,10,Guard-Forward,1,29,2017,2023,1,1,1,0
1627826,Ivica,Zubac,1997-03-18,"Mega Basket",Croatia,"Mega Basket/Croatia",84,240,7,40,Center,1,31,2016,2023,1,1,1,0
1627853,Ryan,Arcidiacono,1994-03-26,Villanova,USA,Villanova/USA,75,195,6,NULL,Guard,0,NULL,2017,2022,1,1,1,0
1627854,Bryn,Forbes,1993-07-23,"Michigan State",USA,"Michigan State/USA",74,205,7,NULL,Guard,0,NULL,2016,2022,1,1,1,0
1627863,Danuel,"House Jr.",1993-06-07,"Texas A&M",USA,"Texas A&M/USA",78,220,7,25,Forward-Guard,1,21,2016,2023,1,1,1,0
1627884,Derrick,"Jones Jr.",1997-02-15,UNLV,USA,UNLV/USA,78,210,7,5,Forward,1,25,2016,2023,1,1,1,0
1627885,Shaquille,Harrison,1993-10-06,Tulsa,USA,Tulsa/USA,76,195,7,0,Guard,0,15,2017,2022,1,1,1,0
1627936,Alex,Caruso,1994-02-28,"Texas A&M",USA,"Texas A&M/USA",77,186,6,6,Guard,1,25,2017,2023,1,1,1,0
1628221,Gabe,York,1993-08-02,Arizona,USA,Arizona/USA,75,190,2,32,Guard,1,36,2021,2023,1,1,1,0
1628365,Markelle,Fultz,1998-05-29,Washington,USA,Washington/USA,76,209,6,20,Guard,1,42,2017,2023,0,1,1,0
1628366,Lonzo,Ball,1997-10-27,UCLA,USA,UCLA/USA,78,190,5,2,Guard,1,25,2017,2023,0,1,1,0
1628368,De'Aaron,Fox,1997-12-20,Kentucky,USA,Kentucky/USA,75,185,6,5,Guard,1,32,2017,2023,0,1,1,0
1628369,Jayson,Tatum,1998-03-03,Duke,USA,Duke/USA,80,210,6,0,Forward-Guard,1,1,2017,2023,0,1,1,0
1628370,Malik,Monk,1998-02-04,Kentucky,USA,Kentucky/USA,75,200,6,0,Guard,1,32,2017,2023,1,1,1,0
1628371,Jonathan,Isaac,1997-10-03,"Florida State",USA,"Florida State/USA",82,230,4,1,Forward,1,42,2017,2023,1,1,1,0
1628372,Dennis,"Smith Jr.",1997-11-25,"North Carolina State",USA,"North Carolina State/USA",74,205,6,8,Guard,1,39,2017,2023,0,1,1,0
1628373,Frank,Ntilikina,1998-07-28,"Strasbourg IG",France,"Strasbourg IG/France",76,200,6,21,Guard,1,38,2017,2023,0,1,1,0
1628374,Lauri,Markkanen,1997-05-22,Arizona,Finland,Arizona/Finland,84,240,6,23,Forward-Center,1,33,2017,2023,0,1,1,0
1628378,Donovan,Mitchell,1996-09-07,Louisville,USA,Louisville/USA,73,215,6,45,Guard,1,30,2017,2023,0,1,1,0
1628379,Luke,Kennard,1996-06-24,Duke,USA,Duke/USA,77,206,6,10,Guard,1,43,2017,2023,1,1,1,0
1628380,Zach,Collins,1997-11-19,Gonzaga,USA,Gonzaga/USA,83,250,5,23,Forward-Center,1,37,2017,2023,1,1,1,0
1628381,John,Collins,1997-09-23,"Wake Forest",USA,"Wake Forest/USA",81,226,6,20,Forward-Center,1,18,2017,2023,0,1,1,0
1628384,O.G.,Anunoby,1997-07-17,Indiana,"United Kingdom","Indiana/United Kingdom",79,232,6,3,Forward,1,44,2017,2023,0,1,1,0
1628386,Jarrett,Allen,1998-04-21,Texas,USA,Texas/USA,81,243,6,31,Center,1,30,2017,2023,0,1,1,0
1628389,Bam,Adebayo,1997-07-18,Kentucky,USA,Kentucky/USA,81,255,6,13,Center-Forward,1,40,2017,2023,0,1,1,0
1628392,Isaiah,Hartenstein,1998-05-05,Zalgiris,Germany,Zalgiris/Germany,84,250,5,55,Center-Forward,1,6,2018,2023,1,1,1,0
1628396,Tony,Bradley,1998-01-08,"North Carolina",USA,"North Carolina/USA",83,248,6,NULL,Center-Forward,0,NULL,2017,2022,1,1,1,0
1628398,Kyle,Kuzma,1995-07-24,Utah,USA,Utah/USA,81,221,6,33,Forward,1,24,2017,2023,0,1,1,0
1628401,Derrick,White,1994-07-02,Colorado,USA,Colorado/USA,76,190,6,9,Guard,1,1,2017,2023,1,1,1,0
1628402,Frank,Jackson,1998-05-04,Duke,USA,Duke/USA,75,205,5,NULL,Guard,0,NULL,2017,2022,1,1,1,0
1628408,PJ,Dozier,1996-10-25,"South Carolina",USA,"South Carolina/USA",78,205,6,35,Guard-Forward,1,32,2017,2023,1,1,1,0
1628410,Edmond,Sumner,1995-12-31,Xavier,USA,Xavier/USA,76,196,5,4,Guard,1,34,2017,2023,1,1,1,0
1628415,Dillon,Brooks,1996-01-22,Oregon,Canada,Oregon/Canada,78,225,6,24,Guard-Forward,1,43,2017,2023,0,1,1,0
1628416,Tyler,Dorsey,1996-02-18,Oregon,USA,Oregon/USA,76,180,3,NULL,Guard,0,NULL,2017,2022,1,1,1,0
1628418,Thomas,Bryant,1997-07-31,Indiana,USA,Indiana/USA,82,248,6,13,Center-Forward,1,40,2017,2023,1,1,1,0
1628420,Monte,Morris,1995-06-27,"Iowa State",USA,"Iowa State/USA",74,183,6,22,Guard,1,24,2017,2023,1,1,1,0
1628425,Sterling,Brown,1995-02-10,"Southern Methodist",USA,"Southern Methodist/USA",77,219,6,NULL,Guard-Forward,0,NULL,2017,2022,1,1,1,0
1628427,Vlatko,Cancar,1997-04-10,"San Pablo Burgos",Slovenia,"San Pablo Burgos/Slovenia",80,236,4,31,Forward,1,35,2019,2023,1,1,1,0
1628432,Davon,Reed,1995-06-11,Miami,USA,Miami/USA,77,206,4,NULL,Guard,0,NULL,2017,2022,1,1,1,0
1628449,Chris,Boucher,1993-01-11,Oregon,"Saint Lucia","Oregon/Saint Lucia",81,200,6,25,Forward-Center,1,44,2017,2023,1,1,1,0
1628464,Daniel,Theis,1992-04-04,"Brose Bamberg",Germany,"Brose Bamberg/Germany",80,245,6,27,Forward-Center,1,36,2017,2023,0,1,1,0
1628467,Maxi,Kleber,1992-01-29,"Bayern Munich",Germany,"Bayern Munich/Germany",82,240,6,42,Forward,1,38,2017,2023,0,1,1,0
1628470,Torrey,Craig,1990-12-19,"South Carolina Upstate",USA,"South Carolina Upstate/USA",79,221,6,0,Forward,1,29,2017,2023,1,1,1,0
1628960,Grayson,Allen,1995-10-08,Duke,USA,Duke/USA,76,198,5,12,Guard,1,28,2018,2023,1,1,1,0
