id,first_name,last_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey_number,position,is_active,from_year,to_year,is_d_league,is_nba,has_played,is_greatest_75,team_id
202332,Cole,Aldrich,1988-10-31,Kansas,USA,Kansas/USA,83.0,253.0,9,45,Center,False,2010.0,2017.0,True,True,True,False,37
200746,LaMarcus,Aldridge,1985-07-19,University of Texas at Austin,USA,Texas-Austin/USA,83.0,250.0,17,21,Center-Forward,False,2006.0,2021.0,False,True,True,False,39
1626146,Cliff,Alexander,1995-11-16,Kansas,USA,Kansas/USA,80.0,240.0,2,34,Forward,False,2015.0,2015.0,True,True,True,False,45
724,Cory,Alexander,1973-06-22,Virginia,USA,Virginia/USA,73.0,190.0,8,12,Guard,False,1995.0,2004.0,False,True,True,False,5
201570,Joe,Alexander,1986-12-26,West Virginia,USA,West Virginia/USA,80.0,230.0,3,20,Forward,False,2008.0,2009.0,True,True,True,False,27
1629734,Kyle,Alexander,1996-10-21,Tennessee,Canada,Tennessee/Canada,82.0,216.0,2,17,Forward-Center,False,2019.0,2019.0,True,True,True,False,36
1630234,Ty-Shon,Alexander,1998-07-16,Creighton,USA,Creighton/USA,75.0,195.0,2,0,Guard,False,2020.0,2020.0,True,True,True,False,6
2349,Victor,Alexander,1969-08-31,Iowa State,USA,Iowa State/USA,82.0,265.0,5,9,Forward,False,1991.0,2001.0,False,True,True,False,25
1629638,Nickeil,Alexander-Walker,1998-09-02,Virginia Tech,Canada,Virginia Tech/Canada,77.0,205.0,4,9,Guard,True,2019.0,2023.0,True,True,True,False,15
76024,Steve,Alford,1964-11-23,Indiana,USA,Indiana/USA,74.0,183.0,4,4,Guard,False,1987.0,1990.0,False,True,True,False,31
1628959,Rawle,Alkins,1997-10-29,Arizona,USA,Arizona/USA,77.0,225.0,2,20,Guard,False,2018.0,2018.0,True,True,True,False,41
76028,Bob,Allen,1946-07-17,Marshall,USA,Marshall/USA,81.0,205.0,1,50,Forward,False,1968.0,1968.0,False,True,True,False,35
1628960,Grayson,Allen,1995-10-08,Duke,USA,Duke/USA,76.0,198.0,5,12,Guard,True,2018.0,2023.0,True,True,True,False,16
1628386,Jarrett,Allen,1998-04-21,Texas,USA,Texas/USA,81.0,243.0,6,31,Center,True,2017.0,2023.0,False,True,True,False,35
1628443,Kadeem,Allen,1993-01-15,Arizona,USA,Arizona/USA,73.0,200.0,3,,Guard,False,2017.0,2019.0,True,True,True,False,43
202730,Lavoy,Allen,1989-02-04,Temple,USA,Temple/USA,81.0,260.0,7,5,Forward-Center,False,2011.0,2016.0,True,True,True,False,38
76027,Lucius,Allen,1947-09-26,UCLA,USA,UCLA/USA,74.0,175.0,10,42,Guard,False,1969.0,1978.0,False,True,True,False,31
2124,Malik,Allen,1978-06-27,Villanova,USA,Villanova/USA,82.0,255.0,11,35,Forward,False,2001.0,2010.0,False,True,True,False,37
2754,Tony,Allen,1982-01-11,Oklahoma State,USA,Oklahoma State/USA,76.0,213.0,14,,Guard-Forward,False,2004.0,2017.0,False,True,True,False,36
76029,Odis,Allison,1949-10-02,UNLV,USA,UNLV/USA,78.0,195.0,1,22,Forward,False,1971.0,1971.0,False,True,True,False,1
200984,Lance,Allred,1981-02-02,Weber State,USA,Weber State/USA,83.0,250.0,2,41,Center,False,2007.0,2007.0,True,True,True,False,25
76030,Darrell,Allums,1958-09-12,UCLA,USA,UCLA/USA,80.0,220.0,1,32,Forward,False,1980.0,1980.0,False,True,True,False,43
201165,Morris,Almond,1985-02-02,Rice,USA,Rice/USA,78.0,225.0,4,21,Guard,False,2007.0,2011.0,True,True,True,False,13
308,Derrick,Alston,1972-08-20,Duquesne,USA,Duquesne/USA,83.0,225.0,3,,Center,False,1994.0,1996.0,False,True,True,False,1
1747,Rafer,Alston,1976-07-24,Fresno State,USA,Fresno State/USA,74.0,175.0,11,11,Guard,False,1999.0,2009.0,True,True,True,False,41
1824,Peter,Aluma,1973-04-26,Liberty,USA,Liberty/USA,82.0,260.0,1,,Center,False,1998.0,1998.0,False,True,True,False,18
1630631,Jose,Alvarado,1998-04-12,Georgia Tech,USA,Georgia Tech/USA,72.0,179.0,2,15,Guard,True,2021.0,2023.0,True,True,True,False,16
680,John,Amaechi,1970-11-26,Penn State,United Kingdom,Penn State/United Kingdom,82.0,270.0,6,13,Forward-Center,False,1995.0,2002.0,False,True,True,False,1
200811,Lou,Amundson,1982-12-07,UNLV,USA,UNLV/USA,81.0,220.0,11,17,Forward,False,2006.0,2015.0,True,True,True,False,5
2365,Chris,Andersen,1978-07-07,Blinn J.C.,USA,Blinn J.C./USA,82.0,245.0,15,,Forward-Center,False,2001.0,2016.0,False,True,True,False,42
2431,David,Andersen,1980-06-23,FC Barcelona,Australia,FC Barcelona/Australia,,,20,,,False,2009.0,2017.0,False,True,True,False,38
101187,Alan,Anderson,1982-10-16,Michigan State,USA,Michigan State/USA,78.0,220.0,9,9,Forward-Guard,False,2005.0,2016.0,True,True,True,False,25
202079,Antonio,Anderson,1985-06-05,Memphis,USA,Memphis/USA,78.0,215.0,2,,Guard,False,2009.0,2009.0,True,True,True,False,30
76036,Daniel,Anderson,1951-01-01,Southern California,USA,Southern California/USA,74.0,185.0,2,33,Guard,False,1974.0,1975.0,False,True,True,False,30
1507,Derek,Anderson,1974-07-18,Kentucky,USA,Kentucky/USA,77.0,195.0,12,1,Guard,False,1997.0,2007.0,False,True,True,False,36
76037,Dwight,Anderson,1960-12-28,Southern California,USA,Southern California/USA,75.0,185.0,1,20,Guard,False,1982.0,1982.0,False,True,True,False,25
944,Eric,Anderson,1970-05-26,Indiana,USA,Indiana/USA,81.0,220.0,2,42,Forward,False,1992.0,1993.0,False,True,True,False,18
246,Greg,Anderson,1964-06-22,Houston,USA,Houston/USA,82.0,250.0,10,0,Center-Forward,False,1987.0,1997.0,False,True,True,False,21
202341,James,Anderson,1989-03-25,Oklahoma State,USA,Oklahoma State/USA,78.0,213.0,6,5,Guard-Forward,False,2010.0,2015.0,True,True,True,False,16
76040,Jerome,Anderson,1953-10-09,West Virginia,USA,West Virginia/USA,77.0,195.0,2,21-23,Guard,False,1975.0,1976.0,False,True,True,False,36
1626147,Justin,Anderson,1993-11-19,Virginia,USA,Virginia/USA,77.0,231.0,7,,Forward-Guard,False,2015.0,2021.0,True,True,True,False,21
72,Kenny,Anderson,1970-10-09,Georgia Tech,USA,Georgia Tech/USA,73.0,168.0,14,,Guard,False,1991.0,2004.0,False,True,True,False,36
76041,Kim,Anderson,1955-05-12,Missouri,USA,Missouri/USA,79.0,200.0,1,42,Forward,False,1978.0,1978.0,False,True,True,False,18
203937,Kyle,Anderson,1993-09-20,UCLA,USA,UCLA/USA,81.0,230.0,9,5,Forward-Guard,True,2014.0,2023.0,True,True,True,False,36
76042,Michael,Anderson,1966-03-23,Drexel,USA,Drexel/USA,71.0,184.0,1,10,Guard,False,1988.0,1988.0,False,True,True,False,5
76043,Mitchell,Anderson,1960-09-23,Bradley,USA,Bradley/USA,80.0,195.0,3,11,Forward,False,1982.0,1984.0,False,True,True,False,5
98,Nick,Anderson,1968-01-20,Illinois,USA,Illinois/USA,78.0,228.0,14,5,Forward-Guard,False,1989.0,2002.0,False,True,True,False,42
76045,Richard,Anderson,1960-11-19,California-Santa Barbara,USA,California-Santa Barbara/USA,82.0,240.0,6,35,Forward,False,1982.0,1989.0,False,True,True,False,21
76046,Ron,Anderson,1958-10-15,Fresno State,USA,Fresno State/USA,79.0,215.0,10,35,Forward,False,1984.0,1993.0,False,True,True,False,44
201583,Ryan,Anderson,1988-05-06,California,USA,California/USA,81.0,240.0,12,,Forward,False,2008.0,2019.0,False,True,True,False,39
1000,Shandon,Anderson,1973-12-31,Georgia,USA,Georgia/USA,78.0,215.0,10,49,Guard-Forward,False,1996.0,2005.0,False,True,True,False,15
335,Willie,Anderson,1967-01-08,Georgia,USA,Georgia/USA,80.0,200.0,8,35,Guard-Forward,False,1988.0,1996.0,False,True,True,False,28
101149,Martynas,Andriuskevicius,1986-03-12,Zalgiris,Lithuania,Zalgiris/Lithuania,86.0,240.0,2,15,Center,False,2005.0,2006.0,True,True,True,False,21
76049,Don,Anielak,1930-11-01,Missouri State,USA,Missouri State/USA,79.0,190.0,1,12,Forward,False,1954.0,1954.0,False,True,True,False,34
1628387,Ike,Anigbogu,1998-10-16,UCLA,USA,UCLA/USA,82.0,250.0,3,,Center,False,2017.0,2018.0,True,True,True,False,31
76050,Michael,Ansley,1967-02-08,Alabama,USA,Alabama/USA,79.0,225.0,3,54,Forward,False,1989.0,1991.0,False,True,True,False,13
1512,Chris,Anstey,1975-01-01,South East Melbourne,Australia,South East Melbourne/Australia,84.0,249.0,2,22,Center,False,1997.0,1999.0,False,True,True,False,21
203507,Giannis,Antetokounmpo,1994-12-06,Filathlitikos,Greece,Filathlitikos/Greece,84.0,243.0,10,34,Forward,True,2013.0,2023.0,False,True,True,True,33
1628961,Kostas,Antetokounmpo,1997-11-20,University of Dayton,Greece,Dayton/Greece,82.0,200.0,4,37,Forward,False,2018.0,2020.0,True,True,True,False,30
203648,Thanasis,Antetokounmpo,1992-07-18,Panathinaikos,Greece,Panathinaikos/Greece,79.0,219.0,5,43,Forward,True,2015.0,2023.0,True,True,True,False,13
2546,Carmelo,Anthony,1984-05-29,Syracuse,USA,Syracuse/USA,79.0,238.0,20,7,Forward,False,2003.0,2021.0,False,True,True,True,43
1630175,Cole,Anthony,2000-05-15,North Carolina,USA,North Carolina/USA,75.0,185.0,3,50,Guard,True,2020.0,2023.0,False,True,True,False,5
21,Greg,Anthony,1967-11-15,UNLV,USA,UNLV/USA,73.0,180.0,11,50,Guard,False,1991.0,2001.0,False,True,True,False,27
201202,Joel,Anthony,1982-08-09,UNLV,Canada,UNLV/Canada,81.0,245.0,11,30,Center,False,2007.0,2016.0,True,True,True,False,35
203544,Pero,Antic,1982-07-29,Olympiacos,Macedonia,Olympiacos/Macedonia,83.0,260.0,2,6,Forward-Center,False,2013.0,2014.0,False,True,True,False,6
1628384,O.G.,Anunoby,1997-07-17,Indiana,United Kingdom,Indiana/United Kingdom,79.0,232.0,6,3,Forward,True,2017.0,2023.0,False,True,True,False,1
2737,Rafael,Araujo,1980-08-12,Brigham Young,Brazil,Brigham Young/Brazil,83.0,270.0,4,55,Center,False,2004.0,2006.0,False,True,True,False,28
76053,Stacey,Arceneaux,1936-02-17,Iowa State,USA,Iowa State/USA,76.0,210.0,1,,Forward,False,1961.0,1961.0,False,True,True,False,40
76054,Nate,Archibald,1948-09-02,Texas-El Paso,USA,Texas-El Paso/USA,73.0,150.0,13,1,Guard,False,1970.0,1983.0,False,True,True,True,44
2425,Robert,Archibald,1980-03-29,Illinois,Scotland,Illinois/Scotland,83.0,250.0,3,34,Forward,False,2002.0,2003.0,False,True,True,False,30
1627853,Ryan,Arcidiacono,1994-03-26,Villanova,USA,Villanova/USA,75.0,195.0,6,,Guard,False,2017.0,2022.0,True,True,True,False,34
76055,Jim,Ard,1948-09-19,Cincinnati,USA,Cincinnati/USA,81.0,215.0,4,34,Center,False,1974.0,1977.0,False,True,True,False,32
2240,Gilbert,Arenas,1982-01-06,Arizona,USA,Arizona/USA,76.0,215.0,12,10,Guard,False,2001.0,2011.0,False,True,True,False,18
2772,Trevor,Ariza,1985-06-30,UCLA,USA,UCLA/USA,80.0,215.0,18,,Forward,False,2004.0,2021.0,False,True,True,False,34
76056,Paul,Arizin,1928-04-09,Villanova,USA,Villanova/USA,76.0,190.0,10,11,Forward,False,1950.0,1961.0,False,True,True,True,37
76057,Joe,Arlauckas,1965-07-20,Niagara,USA,Niagara/USA,81.0,230.0,1,53,Forward,False,1987.0,1987.0,False,True,True,False,37
769,B.J.,Armstrong,1967-09-09,Iowa,USA,Iowa/USA,74.0,185.0,11,11,Guard,False,1989.0,1999.0,False,True,True,False,27
2220,Brandon,Armstrong,1980-06-16,Pepperdine,USA,Pepperdine/USA,77.0,185.0,4,1,Guard,False,2001.0,2003.0,True,True,True,False,21
353,Darrell,Armstrong,1968-06-22,Fayetteville State,USA,Fayetteville State/USA,73.0,180.0,15,10,Guard,False,1994.0,2007.0,False,True,True,False,42
200756,Hilton,Armstrong,1984-11-23,Connecticut,USA,Connecticut/USA,83.0,235.0,6,57,Forward-Center,False,2006.0,2013.0,True,True,True,False,25
76059,Tate,Armstrong,1955-10-05,Duke,USA,Duke/USA,75.0,175.0,2,14,Guard,False,1977.0,1978.0,False,True,True,False,38
76062,Jesse,Arnelle,1933-12-30,Penn State,USA,Penn State/USA,77.0,220.0,1,15-18,Forward,False,1955.0,1955.0,False,True,True,False,30
76064,Bob,Arnzen,1947-11-03,Notre Dame,USA,Notre Dame/USA,77.0,205.0,1,21-30,Forward,False,1970.0,1970.0,False,True,True,False,42
2306,Carlos,Arroyo,1979-07-30,Florida International,Puerto Rico,Florida International/Puerto Rico,74.0,200.0,10,45,Guard,False,2001.0,2010.0,False,True,True,False,33
201589,Darrell,Arthur,1988-03-25,Kansas,USA,Kansas/USA,81.0,235.0,10,00,Forward,False,2008.0,2017.0,False,True,True,False,42
76065,John,Arthurs,1947-08-15,Tulane,USA,Tulane/USA,76.0,185.0,1,12,Guard,False,1969.0,1969.0,False,True,True,False,13
1628503,Jamel,Artis,1993-01-12,Pittsburgh,USA,Pittsburgh/USA,79.0,213.0,2,0,Guard,False,2017.0,2017.0,True,True,True,False,30
201600,Omer,Asik,1986-07-04,Fenerbahce,Turkey,Fenerbahce/Turkey,84.0,255.0,9,3,Center,False,2010.0,2017.0,False,True,True,False,36
355,Vincent,Askew,1966-02-28,Memphis,USA,Memphis/USA,78.0,210.0,9,,Guard,False,1987.0,1997.0,False,True,True,False,42
76068,Don,Asmonga,1928-02-15,Alliance,USA,Alliance/USA,74.0,185.0,1,,Guard,False,1953.0,1953.0,False,True,True,False,33
76069,Richard,Atha,1931-09-21,Indiana State,USA,Indiana State/USA,74.0,190.0,2,7,Guard,False,1955.0,1957.0,False,True,True,False,33
1088,Chucky,Atkins,1974-08-14,South Florida,USA,South Florida/USA,71.0,185.0,12,17,Guard,False,1999.0,2009.0,False,True,True,False,44
76071,Chet,Aubuchon,1916-05-08,Michigan State,USA,Michigan State/USA,70.0,137.0,1,,Guard,False,1946.0,1946.0,False,True,True,False,37
278,Stacey,Augmon,1968-08-01,UNLV,USA,UNLV/USA,80.0,213.0,16,2,Forward-Guard,False,1991.0,2005.0,False,True,True,False,37
201571,D.J.,Augustin,1987-11-10,Texas-Austin,USA,Texas-Austin/USA,71.0,183.0,14,4,Guard,True,2008.0,2023.0,False,True,True,False,31
200788,James,Augustine,1984-02-27,Illinois,USA,Illinois/USA,82.0,235.0,2,40,Forward,False,2006.0,2007.0,True,True,True,False,1
1134,Ike,Austin,1969-08-18,Arizona State,USA,Arizona State/USA,82.0,288.0,9,,Center,False,1991.0,2001.0,False,True,True,False,36
76073,John,Austin,1944-08-31,Boston College,USA,Boston College/USA,72.0,170.0,1,34,Guard,False,1966.0,1966.0,False,True,True,False,6
138,Anthony,Avent,1969-10-18,Seton Hall,USA,Seton Hall/USA,81.0,240.0,6,30,Center,False,1992.0,1999.0,False,True,True,False,1
76076,William,Averitt,1952-07-22,Pepperdine,USA,Pepperdine/USA,74.0,170.0,2,15,Guard,False,1976.0,1977.0,False,True,True,False,45
1895,William,Avery,1979-08-08,Duke,USA,Duke/USA,74.0,180.0,4,30,Guard,False,1999.0,2002.0,False,True,True,False,15
76078,Dennis,Awtrey,1948-02-22,Santa Clara,USA,Santa Clara/USA,82.0,235.0,12,20,Center,False,1970.0,1981.0,False,True,True,False,15
1630555,Joel,Ayayi,2000-03-05,Gonzaga,France,Gonzaga/France,76.0,180.0,2,,Guard,False,2021.0,2021.0,True,True,True,False,33
202970,Gustavo,Ayon,1985-04-01,Baloncesto Fuenlabrada,Mexico,Baloncesto Fuenlabrada/Mexico,,,3,,,False,2011.0,2016.0,False,True,True,False,13
201965,Jeff,Ayres,1987-04-29,Arizona State,USA,Arizona State/USA,81.0,250.0,7,19,Forward-Center,False,2009.0,2015.0,True,True,True,False,44
1629028,Deandre,Ayton,1998-07-23,Arizona,Bahamas,Arizona/Bahamas,84.0,250.0,5,22,Center,True,2018.0,2023.0,False,True,True,False,45
101235,Kelenna,Azubuike,1983-12-16,Kentucky,United Kingdom,Kentucky/United Kingdom,77.0,215.0,5,4,Guard,False,2006.0,2011.0,False,True,True,False,15
1628962,Udoka,Azubuike,1999-09-17,Kansas,Nigeria,Kansas/Nigeria,83.0,270.0,3,20,Center-Forward,True,2020.0,2023.0,True,True,True,False,27
203569,Chris,Babb,1990-02-14,Iowa State,USA,Iowa State/USA,77.0,225.0,3,52,Guard,False,2013.0,2014.0,True,True,True,False,13
202337,Luke,Babbitt,1989-06-20,Nevada-Reno,USA,Nevada-Reno/USA,81.0,225.0,9,22,Forward,False,2010.0,2017.0,True,True,True,False,36
76079,Milos,Babic,1968-11-23,Tennessee Tech,USA,Tennessee Tech/USA,84.0,240.0,2,00,Center,False,1990.0,1991.0,False,True,True,False,34
76080,Johnny,Bach,1924-07-10,Fordham,USA,Fordham/USA,74.0,180.0,1,17,Forward,False,1948.0,1948.0,False,True,True,False,33
1628407,Dwayne,Bacon,1995-08-30,Florida State,USA,Florida State/USA,78.0,221.0,5,8,Guard-Forward,False,2017.0,2020.0,True,True,True,False,31
76081,Jim,Baechtold,1927-12-09,Eastern Kentucky,USA,Eastern Kentucky/USA,76.0,205.0,5,10,Forward,False,1952.0,1956.0,False,True,True,False,30
2053,Dalibor,Bagaric,1980-07-02,Benston Zagreb,Croatia,Benston Zagreb/Croatia,85.0,290.0,4,11,Center,False,2000.0,2002.0,False,True,True,False,31
76082,John,Bagley,1960-04-23,Boston College,USA,Boston College/USA,72.0,185.0,11,5,Guard,False,1982.0,1993.0,False,True,True,False,21
1628963,Marvin,Bagley III,1999-03-14,Duke,USA,Duke/USA,82.0,235.0,5,35,Forward,True,2018.0,2023.0,False,True,True,False,18
76084,Carl,Bailey,1958-04-23,Tuskegee,USA,Tuskegee/USA,84.0,210.0,1,21,Center,False,1981.0,1981.0,False,True,True,False,27
76083,Gus,Bailey,1951-02-18,Texas-El Paso,USA,Texas-El Paso/USA,77.0,185.0,5,20,Guard,False,1974.0,1979.0,False,True,True,False,1
76085,James,Bailey,1957-05-21,Rutgers,USA,Rutgers/USA,81.0,220.0,9,2,Forward,False,1979.0,1987.0,False,True,True,False,41
1847,Thurl,Bailey,1961-04-07,North Carolina State,USA,North Carolina State/USA,83.0,247.0,12,41,Forward,False,1983.0,1998.0,False,True,True,False,28
1753,Toby,Bailey,1975-11-19,UCLA,USA,UCLA/USA,78.0,213.0,3,11,Guard,False,1998.0,2002.0,False,True,True,False,34
1858,Mark,Baker,1969-11-11,Ohio State,USA,Ohio State/USA,73.0,175.0,1,,Guard,False,1998.0,1998.0,False,True,True,False,42
2486,Maurice,Baker,1979-07-28,Oklahoma State,USA,Oklahoma State/USA,74.0,200.0,2,,Guard,False,2002.0,2004.0,True,True,True,False,39
76089,Norm,Baker,1923-02-17,Victoria,Canada,Victoria/Canada,72.0,180.0,1,,Guard,False,1946.0,1946.0,False,True,True,False,45
1627758,Ron,Baker,1993-03-30,Wichita State,USA,Wichita State/USA,76.0,220.0,3,,Guard,False,2016.0,2018.0,True,True,True,False,16
452,Vin,Baker,1971-11-23,Hartford,USA,Hartford/USA,83.0,240.0,13,34,Forward,False,1993.0,2005.0,False,True,True,False,37
1627735,Wade,Baldwin IV,1996-03-29,Vanderbilt,USA,Vanderbilt/USA,76.0,200.0,3,,Guard,False,2016.0,2018.0,True,True,True,False,21
1631116,Patrick,Baldwin Jr.,2002-11-18,Wisconsin-Milwaukee,USA,Wisconsin-Milwaukee/USA,81.0,220.0,1,7,Forward,True,2022.0,2023.0,True,True,True,False,35
200764,Renaldo,Balkman,1984-07-14,South Carolina,USA,South Carolina/USA,80.0,225.0,7,,Forward,False,2006.0,2011.0,True,True,True,False,34
76090,Cedric,Ball,1968-04-16,North Carolina-Charlotte,USA,North Carolina-Charlotte/USA,80.0,210.0,1,44,Forward,False,1990.0,1990.0,False,True,True,False,32
1630163,LaMelo,Ball,2001-08-22,Illawarra,USA,Illawarra/USA,79.0,180.0,3,1,Guard,True,2020.0,2023.0,False,True,True,False,36
1629071,LiAngelo,Ball,1998-11-24,,USA,UCLA/USA,,,0,,,False,,,True,False,True,False,16
1628366,Lonzo,Ball,1997-10-27,UCLA,USA,UCLA/USA,78.0,190.0,5,2,Guard,True,2017.0,2023.0,False,True,True,False,44
76091,Greg,Ballard,1955-01-29,Oregon,USA,Oregon/USA,79.0,215.0,11,42,Forward,False,1977.0,1988.0,False,True,True,False,34
76092,Herschel,Baltimore,1921-06-21,Penn State,USA,Penn State/USA,76.0,195.0,1,,Forward,False,1946.0,1946.0,False,True,True,False,16
1631094,Paolo,Banchero,2002-11-12,Duke,USA,Duke/USA,82.0,250.0,1,5,Forward,True,2022.0,2023.0,False,True,True,False,36
1630217,Desmond,Bane,1998-06-25,TCU,USA,TCU/USA,77.0,215.0,3,22,Guard,True,2020.0,2023.0,False,True,True,False,16
76093,Gene,Banks,1959-05-15,Duke,USA,Duke/USA,79.0,215.0,6,20,Forward,False,1981.0,1986.0,False,True,True,False,41
2556,Marcus,Banks,1981-11-19,UNLV,USA,UNLV/USA,74.0,205.0,9,15,Guard,False,2003.0,2010.0,True,True,True,False,18
